date,channel,campaign,geo,creative_id,impressions,clicks,cost
2024-01-01,Meta,Retargeting,PT,meta_c04,19,1,0.8
2024-01-01,Meta,Retargeting,PT,meta_c05,21,1,0.54
2024-01-01,Meta,Retargeting,PT,meta_c06,20,1,0.42
2024-01-02,Google,Brand Search,US,goog_c01,525,46,87.79
2024-01-02,Google,Brand Search,US,goog_c02,427,41,67.72
2024-01-02,Google,Brand Search,UK,goog_c01,112,9,18.36
2024-01-02,Google,Brand Search,UK,goog_c02,122,10,17.43
2024-01-02,Google,Brand Search,CA,goog_c01,89,7,11.35
2024-01-02,Google,Brand Search,CA,goog_c02,82,6,9.71
2024-01-02,Google,Brand Search,AU,goog_c01,76,6,11.31
2024-01-02,Google,Brand Search,AU,goog_c02,69,5,9.95
2024-01-02,Google,Brand Search,DE,goog_c01,85,6,9.78
2024-01-02,Google,Brand Search,DE,goog_c02,73,5,8.28
2024-01-02,Google,Brand Search,PT,goog_c01,19,3,6.59
2024-01-02,Google,Brand Search,PT,goog_c02,19,3,5.28
2024-01-02,Google,Non-Brand Search,US,goog_c03,4325,134,116.63
2024-01-02,Google,Non-Brand Search,US,goog_c04,5467,157,122.99
2024-01-02,Google,Non-Brand Search,UK,goog_c03,784,26,25.87
2024-01-02,Google,Non-Brand Search,UK,goog_c04,769,20,21.48
2024-01-02,Google,Non-Brand Search,CA,goog_c03,734,20,17.4
2024-01-02,Google,Non-Brand Search,CA,goog_c04,669,18,15.72
2024-01-02,Google,Non-Brand Search,AU,goog_c03,593,17,16.22
2024-01-02,Google,Non-Brand Search,AU,goog_c04,581,15,13.26
2024-01-02,Google,Non-Brand Search,DE,goog_c03,718,18,15.14
2024-01-02,Google,Non-Brand Search,DE,goog_c04,605,15,13.64
2024-01-02,Google,Non-Brand Search,PT,goog_c03,142,9,9.71
2024-01-02,Google,Non-Brand Search,PT,goog_c04,203,12,10.47
2024-01-02,Google,Shopping,US,goog_c05,6844,103,73.4
2024-01-02,Google,Shopping,US,goog_c06,7615,117,81.05
2024-01-02,Google,Shopping,UK,goog_c05,2201,31,20.91
2024-01-02,Google,Shopping,UK,goog_c06,2797,35,21.6
2024-01-02,Google,Shopping,CA,goog_c05,1929,26,13.76
2024-01-02,Google,Shopping,CA,goog_c06,1839,24,14.86
2024-01-02,Google,Shopping,AU,goog_c05,1646,21,12.87
2024-01-02,Google,Shopping,AU,goog_c06,1411,18,10.73
2024-01-02,Google,Shopping,DE,goog_c05,1333,15,9.34
2024-01-02,Google,Shopping,DE,goog_c06,1552,16,9.63
2024-01-02,Google,Shopping,PT,goog_c05,356,10,6.73
2024-01-02,Google,Shopping,PT,goog_c06,330,10,6.82
2024-01-02,Google,Performance Max,US,goog_c07,24540,204,155.71
2024-01-02,Google,Performance Max,US,goog_c08,20381,161,128.37
2024-01-02,Google,Performance Max,UK,goog_c07,4982,38,34.46
2024-01-02,Google,Performance Max,UK,goog_c08,5499,41,28.55
2024-01-02,Google,Performance Max,CA,goog_c07,4502,32,24.82
2024-01-02,Google,Performance Max,CA,goog_c08,3208,24,19.87
2024-01-02,Google,Performance Max,AU,goog_c07,3882,27,19.4
2024-01-02,Google,Performance Max,AU,goog_c08,3357,24,16.11
2024-01-02,Google,Performance Max,DE,goog_c07,3725,25,19.04
2024-01-02,Google,Performance Max,DE,goog_c08,3558,22,16.46
2024-01-02,Google,Performance Max,PT,goog_c07,1394,19,13.93
2024-01-02,Google,Performance Max,PT,goog_c08,926,13,12.53
2024-01-02,Meta,Prospecting,US,meta_c01,7754,92,42.38
2024-01-02,Meta,Prospecting,US,meta_c02,10390,127,54.4
2024-01-02,Meta,Prospecting,US,meta_c03,3590,47,23.33
2024-01-02,Meta,Prospecting,US,meta_c04,3852,44,23.38
2024-01-02,Meta,Prospecting,US,meta_c05,2684,31,16.08
2024-01-02,Meta,Prospecting,US,meta_c06,2684,30,14.66
2024-01-02,Meta,Prospecting,UK,meta_c01,2816,29,13.26
2024-01-02,Meta,Prospecting,UK,meta_c02,2832,33,14.84
2024-01-02,Meta,Prospecting,UK,meta_c03,1353,14,6.43
2024-01-02,Meta,Prospecting,UK,meta_c04,1133,14,6.38
2024-01-02,Meta,Prospecting,UK,meta_c05,946,11,4.28
2024-01-02,Meta,Prospecting,UK,meta_c06,831,9,3.86
2024-01-02,Meta,Prospecting,CA,meta_c01,1796,21,8.88
2024-01-02,Meta,Prospecting,CA,meta_c02,1927,20,10.03
2024-01-02,Meta,Prospecting,CA,meta_c03,1019,11,4.82
2024-01-02,Meta,Prospecting,CA,meta_c04,830,9,3.95
2024-01-02,Meta,Prospecting,CA,meta_c05,650,7,3.03
2024-01-02,Meta,Prospecting,CA,meta_c06,552,6,2.94
2024-01-02,Meta,Prospecting,AU,meta_c01,1695,16,7.45
2024-01-02,Meta,Prospecting,AU,meta_c02,1753,18,8.44
2024-01-02,Meta,Prospecting,AU,meta_c03,849,9,4.13
2024-01-02,Meta,Prospecting,AU,meta_c04,654,7,3.62
2024-01-02,Meta,Prospecting,AU,meta_c05,667,6,2.51
2024-01-02,Meta,Prospecting,AU,meta_c06,554,5,2.27
2024-01-02,Meta,Prospecting,DE,meta_c01,1228,13,6.57
2024-01-02,Meta,Prospecting,DE,meta_c02,1514,15,6.87
2024-01-02,Meta,Prospecting,DE,meta_c03,739,7,3.08
2024-01-02,Meta,Prospecting,DE,meta_c04,728,7,3.17
2024-01-02,Meta,Prospecting,DE,meta_c05,376,4,2.06
2024-01-02,Meta,Prospecting,DE,meta_c06,417,4,1.78
2024-01-02,Meta,Prospecting,PT,meta_c01,468,11,5.05
2024-01-02,Meta,Prospecting,PT,meta_c02,392,10,4.8
2024-01-02,Meta,Prospecting,PT,meta_c03,283,6,2.43
2024-01-02,Meta,Prospecting,PT,meta_c04,174,4,2.1
2024-01-02,Meta,Prospecting,PT,meta_c05,131,3,1.51
2024-01-02,Meta,Prospecting,PT,meta_c06,145,3,1.37
2024-01-02,Meta,Retargeting,US,meta_c01,2381,52,30.82
2024-01-02,Meta,Retargeting,US,meta_c02,2032,51,27.94
2024-01-02,Meta,Retargeting,US,meta_c03,679,17,10.45
2024-01-02,Meta,Retargeting,US,meta_c04,615,16,9.47
2024-01-02,Meta,Retargeting,US,meta_c05,376,10,6.16
2024-01-02,Meta,Retargeting,US,meta_c06,396,10,5.75
2024-01-02,Meta,Retargeting,UK,meta_c01,454,10,6.46
2024-01-02,Meta,Retargeting,UK,meta_c02,568,13,6.49
2024-01-02,Meta,Retargeting,UK,meta_c03,160,4,2.23
2024-01-02,Meta,Retargeting,UK,meta_c04,174,4,2.05
2024-01-02,Meta,Retargeting,UK,meta_c05,84,2,1.46
2024-01-02,Meta,Retargeting,UK,meta_c06,79,2,1.25
2024-01-02,Meta,Retargeting,CA,meta_c01,247,6,4.33
2024-01-02,Meta,Retargeting,CA,meta_c02,244,6,3.79
2024-01-02,Meta,Retargeting,CA,meta_c03,87,2,1.44
2024-01-02,Meta,Retargeting,CA,meta_c04,78,2,1.31
2024-01-02,Meta,Retargeting,CA,meta_c05,94,2,0.83
2024-01-02,Meta,Retargeting,CA,meta_c06,42,1,0.74
2024-01-02,Meta,Retargeting,AU,meta_c01,399,8,3.9
2024-01-02,Meta,Retargeting,AU,meta_c02,275,6,3.67
2024-01-02,Meta,Retargeting,AU,meta_c03,89,2,1.35
2024-01-02,Meta,Retargeting,AU,meta_c04,94,2,1.31
2024-01-02,Meta,Retargeting,AU,meta_c05,46,1,0.76
2024-01-02,Meta,Retargeting,AU,meta_c06,41,1,0.73
2024-01-02,Meta,Retargeting,DE,meta_c01,290,6,3.33
2024-01-02,Meta,Retargeting,DE,meta_c02,297,6,3.18
2024-01-02,Meta,Retargeting,DE,meta_c03,94,2,1.33
2024-01-02,Meta,Retargeting,DE,meta_c04,93,2,1.1
2024-01-02,Meta,Retargeting,DE,meta_c05,46,1,0.84
2024-01-02,Meta,Retargeting,DE,meta_c06,47,1,0.69
2024-01-02,Meta,Retargeting,PT,meta_c01,93,4,2.4
2024-01-02,Meta,Retargeting,PT,meta_c02,60,3,2.05
2024-01-02,Meta,Retargeting,PT,meta_c03,21,1,0.88
2024-01-02,Meta,Retargeting,PT,meta_c04,38,2,0.82
2024-01-02,Meta,Retargeting,PT,meta_c05,18,1,0.51
2024-01-02,Meta,Retargeting,PT,meta_c06,19,1,0.46
2024-01-03,Google,Brand Search,US,goog_c01,530,44,81.75
2024-01-03,Google,Brand Search,US,goog_c02,472,38,70.86
2024-01-03,Google,Brand Search,UK,goog_c01,125,10,18.88
2024-01-03,Google,Brand Search,UK,goog_c02,120,10,16.84
2024-01-03,Google,Brand Search,CA,goog_c01,91,7,12.68
2024-01-03,Google,Brand Search,CA,goog_c02,67,5,9.32
2024-01-03,Google,Brand Search,AU,goog_c01,94,6,11.29
2024-01-03,Google,Brand Search,AU,goog_c02,67,5,9.14
2024-01-03,Google,Brand Search,DE,goog_c01,88,6,12.59
2024-01-03,Google,Brand Search,DE,goog_c02,57,4,9.09
2024-01-03,Google,Brand Search,PT,goog_c01,25,4,8.03
2024-01-03,Google,Brand Search,PT,goog_c02,24,4,6.41
2024-01-03,Google,Non-Brand Search,US,goog_c03,4779,127,110.52
2024-01-03,Google,Non-Brand Search,US,goog_c04,3986,122,106.49
2024-01-03,Google,Non-Brand Search,UK,goog_c03,929,25,31.46
2024-01-03,Google,Non-Brand Search,UK,goog_c04,1135,34,30.45
2024-01-03,Google,Non-Brand Search,CA,goog_c03,909,25,20.6
2024-01-03,Google,Non-Brand Search,CA,goog_c04,554,16,15.5
2024-01-03,Google,Non-Brand Search,AU,goog_c03,812,22,18.02
2024-01-03,Google,Non-Brand Search,AU,goog_c04,620,18,16.18
2024-01-03,Google,Non-Brand Search,DE,goog_c03,780,19,16.35
2024-01-03,Google,Non-Brand Search,DE,goog_c04,731,20,17.03
2024-01-03,Google,Non-Brand Search,PT,goog_c03,189,12,10.01
2024-01-03,Google,Non-Brand Search,PT,goog_c04,228,13,10.32
2024-01-03,Google,Shopping,US,goog_c05,8592,128,85.04
2024-01-03,Google,Shopping,US,goog_c06,10719,146,88.76
2024-01-03,Google,Shopping,UK,goog_c05,2065,28,18.82
2024-01-03,Google,Shopping,UK,goog_c06,2398,29,19.53
2024-01-03,Google,Shopping,CA,goog_c05,1675,22,15.5
2024-01-03,Google,Shopping,CA,goog_c06,2124,28,15.34
2024-01-03,Google,Shopping,AU,goog_c05,1384,17,11.91
2024-01-03,Google,Shopping,AU,goog_c06,1575,20,13.63
2024-01-03,Google,Shopping,DE,goog_c05,1136,15,9.66
2024-01-03,Google,Shopping,DE,goog_c06,1090,13,9.79
2024-01-03,Google,Shopping,PT,goog_c05,363,11,7.08
2024-01-03,Google,Shopping,PT,goog_c06,376,11,6.92
2024-01-03,Google,Performance Max,US,goog_c07,24499,205,170.4
2024-01-03,Google,Performance Max,US,goog_c08,22831,196,146.5
2024-01-03,Google,Performance Max,UK,goog_c07,6243,51,39.38
2024-01-03,Google,Performance Max,UK,goog_c08,6004,47,31.45
2024-01-03,Google,Performance Max,CA,goog_c07,4858,35,27.16
2024-01-03,Google,Performance Max,CA,goog_c08,4341,31,23.41
2024-01-03,Google,Performance Max,AU,goog_c07,3326,23,20.7
2024-01-03,Google,Performance Max,AU,goog_c08,3429,26,17.92
2024-01-03,Google,Performance Max,DE,goog_c07,3313,25,18.85
2024-01-03,Google,Performance Max,DE,goog_c08,4323,27,18.78
2024-01-03,Google,Performance Max,PT,goog_c07,1235,20,15.47
2024-01-03,Google,Performance Max,PT,goog_c08,1071,17,11.8
2024-01-03,Meta,Prospecting,US,meta_c01,10987,124,60.46
2024-01-03,Meta,Prospecting,US,meta_c02,9671,116,55.63
2024-01-03,Meta,Prospecting,US,meta_c03,4855,63,28.79
2024-01-03,Meta,Prospecting,US,meta_c04,4757,61,27.41
2024-01-03,Meta,Prospecting,US,meta_c05,3804,43,19.59
2024-01-03,Meta,Prospecting,US,meta_c06,4093,46,17.16
2024-01-03,Meta,Prospecting,UK,meta_c01,2503,29,13.42
2024-01-03,Meta,Prospecting,UK,meta_c02,2973,33,15.22
2024-01-03,Meta,Prospecting,UK,meta_c03,1388,16,7.48
2024-01-03,Meta,Prospecting,UK,meta_c04,1479,16,6.71
2024-01-03,Meta,Prospecting,UK,meta_c05,756,8,4.25
2024-01-03,Meta,Prospecting,UK,meta_c06,934,10,4.2
2024-01-03,Meta,Prospecting,CA,meta_c01,1349,15,8.95
2024-01-03,Meta,Prospecting,CA,meta_c02,1909,21,9.36
2024-01-03,Meta,Prospecting,CA,meta_c03,854,9,4.16
2024-01-03,Meta,Prospecting,CA,meta_c04,663,8,3.98
2024-01-03,Meta,Prospecting,CA,meta_c05,772,8,3.29
2024-01-03,Meta,Prospecting,CA,meta_c06,555,6,2.74
2024-01-03,Meta,Prospecting,AU,meta_c01,1784,19,7.99
2024-01-03,Meta,Prospecting,AU,meta_c02,1916,21,8.3
2024-01-03,Meta,Prospecting,AU,meta_c03,1112,12,4.31
2024-01-03,Meta,Prospecting,AU,meta_c04,936,10,4.19
2024-01-03,Meta,Prospecting,AU,meta_c05,703,7,3.04
2024-01-03,Meta,Prospecting,AU,meta_c06,597,6,2.49
2024-01-03,Meta,Prospecting,DE,meta_c01,1382,14,7.57
2024-01-03,Meta,Prospecting,DE,meta_c02,1760,16,7.48
2024-01-03,Meta,Prospecting,DE,meta_c03,802,8,3.73
2024-01-03,Meta,Prospecting,DE,meta_c04,759,8,3.2
2024-01-03,Meta,Prospecting,DE,meta_c05,608,6,2.46
2024-01-03,Meta,Prospecting,DE,meta_c06,383,4,2.01
2024-01-03,Meta,Prospecting,PT,meta_c01,466,11,5.02
2024-01-03,Meta,Prospecting,PT,meta_c02,554,12,5.76
2024-01-03,Meta,Prospecting,PT,meta_c03,246,5,2.18
2024-01-03,Meta,Prospecting,PT,meta_c04,239,6,2.34
2024-01-03,Meta,Prospecting,PT,meta_c05,125,3,1.53
2024-01-03,Meta,Prospecting,PT,meta_c06,122,3,1.38
2024-01-03,Meta,Retargeting,US,meta_c01,2327,54,31.26
2024-01-03,Meta,Retargeting,US,meta_c02,2048,49,26.36
2024-01-03,Meta,Retargeting,US,meta_c03,646,17,10.59
2024-01-03,Meta,Retargeting,US,meta_c04,753,18,10.56
2024-01-03,Meta,Retargeting,US,meta_c05,507,13,6.34
2024-01-03,Meta,Retargeting,US,meta_c06,298,7,4.7
2024-01-03,Meta,Retargeting,UK,meta_c01,509,12,7.34
2024-01-03,Meta,Retargeting,UK,meta_c02,511,12,7.14
2024-01-03,Meta,Retargeting,UK,meta_c03,213,5,2.55
2024-01-03,Meta,Retargeting,UK,meta_c04,209,5,2.43
2024-01-03,Meta,Retargeting,UK,meta_c05,91,2,1.5
2024-01-03,Meta,Retargeting,UK,meta_c06,86,2,1.44
2024-01-03,Meta,Retargeting,CA,meta_c01,392,9,5.33
2024-01-03,Meta,Retargeting,CA,meta_c02,282,7,4.57
2024-01-03,Meta,Retargeting,CA,meta_c03,129,3,1.84
2024-01-03,Meta,Retargeting,CA,meta_c04,132,3,1.85
2024-01-03,Meta,Retargeting,CA,meta_c05,89,2,1.12
2024-01-03,Meta,Retargeting,CA,meta_c06,44,1,0.94
2024-01-03,Meta,Retargeting,AU,meta_c01,320,8,4.29
2024-01-03,Meta,Retargeting,AU,meta_c02,306,7,4.2
2024-01-03,Meta,Retargeting,AU,meta_c03,99,2,1.47
2024-01-03,Meta,Retargeting,AU,meta_c04,98,2,1.32
2024-01-03,Meta,Retargeting,AU,meta_c05,41,1,0.9
2024-01-03,Meta,Retargeting,AU,meta_c06,43,1,0.7
2024-01-03,Meta,Retargeting,DE,meta_c01,269,6,3.16
2024-01-03,Meta,Retargeting,DE,meta_c02,260,5,3.07
2024-01-03,Meta,Retargeting,DE,meta_c03,94,2,1.23
2024-01-03,Meta,Retargeting,DE,meta_c04,103,2,1.06
2024-01-03,Meta,Retargeting,DE,meta_c05,47,1,0.8
2024-01-03,Meta,Retargeting,DE,meta_c06,50,1,0.61
2024-01-03,Meta,Retargeting,PT,meta_c01,82,4,2.35
2024-01-03,Meta,Retargeting,PT,meta_c02,86,4,2.28
2024-01-03,Meta,Retargeting,PT,meta_c03,19,1,0.96
2024-01-03,Meta,Retargeting,PT,meta_c04,19,1,0.82
2024-01-03,Meta,Retargeting,PT,meta_c05,20,1,0.5
2024-01-03,Meta,Retargeting,PT,meta_c06,21,1,0.49
2024-01-04,Google,Brand Search,US,goog_c01,612,50,91.9
2024-01-04,Google,Brand Search,US,goog_c02,452,37,75.02
2024-01-04,Google,Brand Search,UK,goog_c01,158,13,22.42
2024-01-04,Google,Brand Search,UK,goog_c02,150,11,19.26
2024-01-04,Google,Brand Search,CA,goog_c01,85,7,13.8
2024-01-04,Google,Brand Search,CA,goog_c02,67,5,11.32
2024-01-04,Google,Brand Search,AU,goog_c01,66,5,10.9
2024-01-04,Google,Brand Search,AU,goog_c02,88,6,9.58
2024-01-04,Google,Brand Search,DE,goog_c01,85,6,10.81
2024-01-04,Google,Brand Search,DE,goog_c02,65,5,8.79
2024-01-04,Google,Brand Search,PT,goog_c01,24,4,7.7
2024-01-04,Google,Brand Search,PT,goog_c02,19,3,6.34
2024-01-04,Google,Non-Brand Search,US,goog_c03,3729,116,110.4
2024-01-04,Google,Non-Brand Search,US,goog_c04,5023,142,122.01
2024-01-04,Google,Non-Brand Search,UK,goog_c03,819,23,27.83
2024-01-04,Google,Non-Brand Search,UK,goog_c04,866,26,26.42
2024-01-04,Google,Non-Brand Search,CA,goog_c03,587,16,17.49
2024-01-04,Google,Non-Brand Search,CA,goog_c04,712,20,19.13
2024-01-04,Google,Non-Brand Search,AU,goog_c03,644,18,15.35
2024-01-04,Google,Non-Brand Search,AU,goog_c04,462,13,13.82
2024-01-04,Google,Non-Brand Search,DE,goog_c03,516,13,11.42
2024-01-04,Google,Non-Brand Search,DE,goog_c04,547,14,12.44
2024-01-04,Google,Non-Brand Search,PT,goog_c03,256,14,12.16
2024-01-04,Google,Non-Brand Search,PT,goog_c04,230,14,11.24
2024-01-04,Google,Shopping,US,goog_c05,10238,139,90.54
2024-01-04,Google,Shopping,US,goog_c06,9119,126,93.52
2024-01-04,Google,Shopping,UK,goog_c05,2766,34,20.76
2024-01-04,Google,Shopping,UK,goog_c06,2649,39,23.18
2024-01-04,Google,Shopping,CA,goog_c05,1762,24,13.64
2024-01-04,Google,Shopping,CA,goog_c06,1777,24,13.59
2024-01-04,Google,Shopping,AU,goog_c05,1561,20,12.32
2024-01-04,Google,Shopping,AU,goog_c06,1524,18,11.71
2024-01-04,Google,Shopping,DE,goog_c05,1266,17,11.44
2024-01-04,Google,Shopping,DE,goog_c06,1378,17,10.7
2024-01-04,Google,Shopping,PT,goog_c05,404,11,7.44
2024-01-04,Google,Shopping,PT,goog_c06,373,11,6.93
2024-01-04,Google,Performance Max,US,goog_c07,25993,217,157.03
2024-01-04,Google,Performance Max,US,goog_c08,18171,151,134.2
2024-01-04,Google,Performance Max,UK,goog_c07,6840,57,39.4
2024-01-04,Google,Performance Max,UK,goog_c08,7979,55,35.27
2024-01-04,Google,Performance Max,CA,goog_c07,5471,38,27.8
2024-01-04,Google,Performance Max,CA,goog_c08,5018,35,24.75
2024-01-04,Google,Performance Max,AU,goog_c07,5444,38,25.11
2024-01-04,Google,Performance Max,AU,goog_c08,3503,24,21.28
2024-01-04,Google,Performance Max,DE,goog_c07,4164,27,18.65
2024-01-04,Google,Performance Max,DE,goog_c08,3540,24,17.77
2024-01-04,Google,Performance Max,PT,goog_c07,1230,19,14.76
2024-01-04,Google,Performance Max,PT,goog_c08,1115,18,13.16
2024-01-04,Meta,Prospecting,US,meta_c01,9270,115,54.93
2024-01-04,Meta,Prospecting,US,meta_c02,12636,134,60.87
